AUTHOR	UUIDS	PMIDS	PI	NUMPAPERS
Alkan Hartwig E	3090ba23-9d1c-3a6d-be13-db204c1ea7b1	23685776	0	1
Alkire MT	be6aedb5-89db-355c-84c3-b813f061a594	15734366,15325390	1	2
Allali G	70258f98-b300-3d91-b948-593c5396f21b	23015531	0	1
Allard CB	946667d4-2db3-3129-b15e-577074db2b0a	20553750,23916537,23154098	0	3
Allard M	4340d103-6900-3e93-8e56-0171e2346caa	18465748,15929092,20644633,21074901,18191587	1	5
Allen AN	daaf5ae4-9725-399b-a7cc-691896e7a4c8	20888920	0	1
Allen EA	6fdea886-ec7c-36a2-840f-660cbd5d0732	22019879,23994454	0	2
Allen G	9e67801c-27ae-32cb-bde7-e9c9f740a1d5	16023375	0	1
Allen HA	ff5534d3-fb36-37e7-b1b6-0375875178cf	22056463,20338249	0	2
Allen JP	07bf5b60-67ee-31fd-8150-8ffdf223ff48	23639347	1	1
Allen M	9f7ae0eb-b812-3d3e-88e7-684eca759463	23115195	0	1
Allen MD	e46858b9-dae4-3fc1-9872-ebfdcd3c3bc9	18639870	0	1
Allen NB	e7805cb5-96bd-3b49-84ea-0e1a57f25a7b	21257158,21917846,19823984	1	3
Allen P	6aa4686e-4a27-39ee-82b4-dd027fa06ba5	18589404,22036677,21922599,19703570,22370252	1	5
Allen PJ	de2f1266-0794-3bc5-a73b-9229729e7841	16730460	0	1
Allen PP	461ddf70-8eb4-3bd6-b54f-8ca98fe33a7a	15884023	0	1
Allen R	14215d6b-db19-3df9-aa75-5f4da6af8ba2	17336344	0	1
Allen V	3b8ba6f3-a477-3a6e-a5a3-8fa499a68593	17217932	0	1
Allendorfer JB	6eedc2aa-cea2-3131-b792-785b89c7d44a	21937029,22227457,20884358,21676387,22560503,21051038	0	6
Allilaire JF	a94c2f66-336a-3990-929b-2bb583eaec0d	15955496,19307251	0	2
Allin M	cfb51afc-88c7-3f85-b540-585c9c9f9461	22701619,18412112	0	2
Allin MP	9b156062-0f5c-3ef7-adb9-51a89922a977	22532832,22022357,19376244,19376243,12518293,20853378	1	6
Allirol L	5bed0083-bd30-35af-90ca-beaa26c790e3	19864015	0	1
Allison S	105f24c9-3b6e-35fc-a926-190ec3b6903b	16154603	0	1
Allison SC	9e63e6ef-f742-31b1-835b-5b93a385a80c	17008334,16195246	0	2
Allison T	e8f86046-59f9-3876-b8f7-51602008081b	15746001,10450889	1	2
Allman C	b84f862a-d4ba-3e67-a24d-2a0f27500d5f	22155982	0	1
Allman JM	2eabb38b-6552-3968-bdcb-d86303186dd8	16002323,16514105	1	2
Alluri V	26e994e9-7f85-3d60-bc32-21a51ff0d84f	22144968,22116038	0	2
Allzen E	97c061d4-44e0-366d-bcea-5d71b22191dc	22001789	0	1
Alm B	d66cb0ea-194f-3cbb-8e68-e63577ded5b4	21392946	0	1
Almeida J	b317c1d8-0f88-3607-9ae2-277792fc4ad5	18809923,23158778,23021615	0	3
Almeida JR	6471d82c-7d5f-3597-9561-2e1064e59b58	20598288,19101126,22137505	0	3
Almeida OP	a70389d8-8e23-3211-aa0d-f119f1168288	21281718	0	1
Almeida PR	ba015166-78fc-321c-a056-1a52fc4a1fc5	23748499	0	1
Almkvist O	60751a11-f15b-363d-af62-4593b7f6a0d9	17719211,16564707	0	2
Almli CR	11af5bb0-d2fd-373f-8475-782fcbc29ea0	17239623	0	1
Alonso P	694e2193-362c-35ba-81f8-258b7c1b392d	23200527,21829564	0	2
Alperovitch A	6bc4e3c2-4c60-3bdb-b92a-123782fe2252	15955500	0	1
Alpert NM	aeec7280-da58-3634-a81b-63461ef72589	12183389	0	1
Alpeter C	19eec3d5-3d55-399e-bee8-cd51f61eca08	23410032	0	1
Alsius A	2bfecbff-99b6-3645-98a8-f76cc49cbf1a	23872285	0	1
Alsop D	0460a4db-e832-325e-b398-3bd89c6c9841	16317710,15850725,16275018,12538399	0	4
Alsop DC	63ac3c8b-d768-350e-8438-f8fd99947cb2	16529951,22348885,23747289,18511306,22451196	1	5
Altamura M	100e456c-9c88-3f9d-a137-958dfac95cae	22901767,17292590,21596142	0	3
Altarelli I	b825b585-cb61-3f8d-958d-4346095b3364	22266262	0	1
Altaye M	0457b82c-ef7d-3e6e-bde7-6a352125f4ed	18411061,18761410,22951258,20841321	0	4
Altbacker A	95dedc0f-79bd-398a-ba6b-6d6dac34daeb	23792788	0	1
Altena E	d2141abf-a3b1-384c-a68e-b46b5b884cfc	22661404	0	1
Altenmuller E	6cdf7eb3-43fe-3245-bd19-9f6203518783	16380270,21195188,15195287	1	3
Alter K	863bbce3-1e75-3f45-bd7f-32087f6a3efa	20600991,12353242,16310346,16928852,18096139,15993767,23667619,17591598	1	8
Altgassen M	d22c9ed4-1b3c-3303-bfee-048a8986f761	17675111	0	1
Altieri NA	30b4a430-7bde-3e60-8cef-e3322949c7ba	20004723	0	1
Altmann CF	8a48a9ba-2988-3147-a70b-86fa63456644	18597794,20493891,18378168,20203196,17320413	1	5
Altmann D	ade2ff66-8519-31cf-8d5a-394629adf597	19662659	0	1
Altmann DR	4ecba0a7-4323-31d5-bcc0-faadf3264555	16672290	0	1
Altmann GT	e258327a-9495-3d0b-a58d-7d769ed66987	22539841	0	1
Altmann U	52bda49b-c3b6-3685-8933-b51142df1bba	22956671,22783212	0	2
Altmeppen J	38f75efa-6f6e-38b4-8ab0-25fa7acfd186	16750298	0	1
Altschul D	1718b8d1-0d83-3787-9519-8c8877834be0	14689506	0	1
