First_Name.Middle_Name	Family_Name	Pubmed_Name	Category	Primary.Affiliation	Secondary.Affiliations	Researcher.ID.URL	RID	uuids
Noboru 	Mizushima	Mizushima N	Biology & Biochemistry	Tokyo Medical and Dental University, Japan	The University of Tokyo, Japan			3f248603-d6c2-453d-bb66-2c980dd5ee4f
Nicola J	Mulder	Mulder NJ	Biology & Biochemistry	University of Cape Town, South Africa				1ea22bd0-fab3-4f9f-8715-8f0ddd75e1c4
Darren A	Natale	Natale DA	Biology & Biochemistry	Georgetown University, USA	PIR, USA			577e6344-d6aa-483d-afae-0f3f7db1fc72
Bernd 	Nilius	Nilius B	Biology & Biochemistry	KU Leuven, Belgium				80f93022-e0c7-4065-842f-6cf5aaf3caa8
Claire C	O'Donovan	O'Donovan CC	Biology & Biochemistry	European Bioinformat Inst, UK				818bd471-cc9a-4cad-bd90-80596d804f90
Sandra E	Orchard	Orchard SE	Biology & Biochemistry	European Bioinformat Inst EMBL EBI, UK				5aba821d-f3bb-4d90-926f-6835de23bbbf
James 	Ostell	Ostell J	Biology & Biochemistry	NIH, USA				36c43220-f50d-4b83-8531-578f360b1fb1
Bernhard O	Palsson	Palsson BO	Biology & Biochemistry	University of California, San Diego, USA				8120eb4e-fe7c-4a8b-9097-0f514ab014a9
Dinshaw J	Patel	Patel DJ	Biology & Biochemistry	Mem Sloan Kettering Canc Ctr, USA				216ff6ac-ddb8-454d-9773-f811525992d3
Herve 	Philippe	Philippe H	Biology & Biochemistry	University of Montreal, Canada				6dc74df0-0467-46b3-8b70-a0459bb86548
Andy 	Pohl	Pohl A	Biology & Biochemistry	Ctr Genom Regulat CRG, Spain	University of California, Santa Cruz, USA			7c3366c9-e6da-443c-88bc-866124e83443
Glenn 	Proctor	Proctor G	Biology & Biochemistry	Eagle Genomics, UK				1951f250-d90f-4925-a5df-ca71febd97b9
Kim D	Pruitt	Pruitt KD	Biology & Biochemistry	NIH, USA				ca75b09e-43c7-436f-86b4-a7150c859bba
Pere 	Puigserver	Puigserver P	Biology & Biochemistry	Harvard University, USA				dd441c08-8297-40fa-b046-50200b36e5bf
Nicholas H	Putnam	Putnam NH	Biology & Biochemistry	Rice University, USA				b8bc603e-3323-46ca-bbac-41c6f741e719
Stephen R	Quake	Quake SR	Biology & Biochemistry	Stanford University, USA	ASTAR, Singapore			d8cc9e33-47ed-4751-9212-677b5f7c0715
Brian J	Raney	Raney BJ	Biology & Biochemistry	University of California, Santa Cruz, USA				65da92ac-c0f0-441b-b76e-8dbe9b88c39c
Soren G F	Rasmussen	Rasmussen SG	Biology & Biochemistry	University of Copenhagen, Denmark				c1193f09-1750-41cb-be52-9e6ae0d796b7
Edward J	Rebar	Rebar EJ	Biology & Biochemistry	Sangamo BioSci Inc, USA				0cf6430b-ad6d-4306-bc13-cf6afc94b6d5
Russel J	Reiter	Reiter RJ	Biology & Biochemistry	The University of Texas Health Science Center at San Antonio, USA				79d410e7-d6a6-4cf0-800f-9da1293f4c69
Brooke 	Rhead	Rhead B	Biology & Biochemistry	University of California, Santa Cruz, USA				cbda9de3-0e06-4b4a-9fe0-229cdc660181
Bernd 	Roechert	Roechert B	Biology & Biochemistry	Swiss Inst Bioinformat, Switzerland	CMU, Switzerland; EBI, UK			b9ce94c5-f34b-4b28-96a2-c048fee1083e
Daniel S	Rokhsar	Rokhsar DS	Biology & Biochemistry	University of California, Berkeley, USA	US DOE Joint Genome Institute, USA			0450e29a-4ed0-4f2d-829d-99dfbbd172d5
Daniel M	Rosenbaum	Rosenbaum DM	Biology & Biochemistry	The University of Texas Southwestern Medical Center at Dallas, USA				23df9c17-6b73-4300-a61f-6ced8a9329a8
Kate R	Rosenbloom	Rosenbloom KR	Biology & Biochemistry	University of California, Santa Cruz, USA				5e0a802a-8c83-4054-aa6a-c8b62c4825c0
David C	Rubinsztein	Rubinsztein DC	Biology & Biochemistry	University of Cambridge, UK				875f4c5a-5540-4fa3-9f7f-9cdd6a4ef10c
David M	Sabatini	Sabatini DM	Biology & Biochemistry	Massachusetts Institute of Technology (MIT), USA	Broad Inst Harvard & MIT, USA			8f3760c1-d828-4355-b9f6-6d316c8c3d92
Asaf A	Salamov	Salamov AA	Biology & Biochemistry	US DOE Joint Genome Institute, USA				e98f2b11-43dd-46b9-b231-a5c04c025ea6
Chris 	Sander	Sander C	Biology & Biochemistry	Mem Sloan Kettering Canc Ctr, USA				a3a3e416-1e5a-4fb5-a130-ba7ec00f0a0d
Eric W	Sayers	Sayers EW	Biology & Biochemistry	NIH, USA				0f8878e7-6931-410b-bdd0-5a04afc43a62
Philipp E	Scherer	Scherer PE	Biology & Biochemistry	The University of Texas Southwestern Medical Center at Dallas, USA				9030beb1-46ab-41e9-bfe8-cf000661a505
Gregory D	Schuler	Schuler GD	Biology & Biochemistry	NIH, USA				053b0923-8ca1-486d-858f-ed3f4e6cad87
Michael 	Schuster	Schuster M	Biology & Biochemistry	European Bioinformat Inst, UK				af12f49e-f812-4fd1-a37d-179ad7787483
Stephen M J	Searle	Searle SM	Biology & Biochemistry	Wellcome Trust Sanger Inst, UK				cf19af1e-197d-4e4e-8154-3af7a3c2c3bb
Jeremy D	Selengut	Selengut JD	Biology & Biochemistry	University of Maryland, College Park, USA				cce0d957-46be-4dd2-8302-c9411baf4c2f
Gregg L	Semenza	Semenza GL	Biology & Biochemistry	The Johns Hopkins University, USA				f76e0148-3420-46d8-9378-2ef2e55c91bb
Edwin 	Sequeira	Sequeira E	Biology & Biochemistry	NIH, USA				c1f825e5-3114-4f03-aad1-9bdb9e721d2c
Hong-Bin 	Shen	Shen HB	Biology & Biochemistry	Shanghai Jiao Tong University, China	Minist Educ China, China; University of Michigan - Ann Arbor, USA			3973099c-a4f4-45f7-8be1-a47eb880950d
Stephen T	Sherry	Sherry ST	Biology & Biochemistry	NIH, USA				a86fdf43-fe54-40e1-81bf-ddb2d7265363
Christian J A	Sigrist	Sigrist CJ	Biology & Biochemistry	CMU, Switzerland				142f091a-ce0c-4519-ac17-e73793f32562
Kai 	Simons	Simons K	Biology & Biochemistry	Max Planck Inst Mol Cell Biol & Genet, Germany				cb079812-dd83-43c7-a1a2-844c08fea019
Karl 	Sirotkin	Sirotkin K	Biology & Biochemistry	NIH, USA				fa8c3466-cdf6-45cc-9e2d-3d6d6995fe92
Guy 	Slater	Slater GH	Biology & Biochemistry	European Bioinformat Inst, UK				f62ad3d7-e68d-4f7f-8ff7-c77615045de7
James 	Smith	Smith J	Biology & Biochemistry	Wellcome Trust Sanger Inst, UK				d53c7cea-2f20-489a-a28b-e00a47f96bb7
Kayla E	Smith	Smith KE	Biology & Biochemistry	University of California, Santa Cruz, USA				fdcfa0b1-93e2-4f02-b2d4-cec9afeb4138
Erik L L	Sonnhammer	Sonnhammer EL	Biology & Biochemistry	Stockholm University, Sweden				ab3e61e3-71b4-4706-92fb-8d5bb3da2099
Alexandre 	Souvorov	Souvorov A	Biology & Biochemistry	NIH, USA				819c848d-a0b1-4cc7-af4f-40ca3b517a75
Sarah 	Spiegel	Spiegel S	Biology & Biochemistry	Virginia Commonwealth University, USA	NIAID, USA			29b50776-d93a-4fbc-be7f-c0b3f073192b
Bruce M	Spiegelman	Spiegelman BM	Biology & Biochemistry	Harvard University, USA				660f9315-0017-4ffe-a0ff-8e6c5feb6bed
Grigory 	Starchenko	Starchenko G	Biology & Biochemistry	NIH, USA				6e566844-7b55-46f0-b569-5bc43a9a46d6
Raymond C	Stevens	Stevens RC	Biology & Biochemistry	University of Southern California, USA				20ce129f-241f-4ba8-9213-64c7cd5a884c
Joseph S	Takahashi	Takahashi JS	Biology & Biochemistry	The University of Texas Southwestern Medical Center at Dallas, USA	Howard Hughes Medical Institute, USA	http://www.researcherid.com/rid/E-8482-2012	E-8482-2012	2939ceb5-751b-4bb8-8f9c-3ca1ba7c516d
Tatiana A	Tatusova	Tatusova TA	Biology & Biochemistry	NIH, USA				709726c5-f5e8-4dfb-ac17-abe327c78bbc
Paul D	Thomas	Thomas PD	Biology & Biochemistry	University of Southern California, USA				e9dcf73c-4aa5-4412-af81-ec8a9876de67
Stephen 	Trevanion	Trevanion S	Biology & Biochemistry	Wellcome Trust Sanger Inst, UK				b972cd96-41cc-4964-9d7c-e01a9882d398
Roger Y	Tsien	Tsien RY	Biology & Biochemistry	University of California, San Diego, USA	Howard Hughes Med Inst, USA			9df4c8d2-a519-4790-a535-0efb1197c2d5
Thomas 	Tuschl	Tuschl T	Biology & Biochemistry	Rockefeller University, USA				b7d2c11c-233d-4990-a394-96cfaa84e01d
Robert 	Tycko	Tycko R	Biology & Biochemistry	NIDDKD, USA				adfbbaf7-d436-45d0-9cd8-0840bbc199ea
Fyodor D	Urnov	Urnov FD	Biology & Biochemistry	Sangamo BioSci Inc, USA				91ae6f75-d790-4e0c-80e9-a3f6c0cba4bb
Vladimir N	Uversky	Uversky VN	Biology & Biochemistry	University of South Florida (80%), USA	King Abdulaziz University (15%), Saudi Arabia; Russian Academy of Sciences (5%), Russia	http://www.researcherid.com/rid/F-4515-2011	F-4515-2011	3a5e9f94-fb70-444e-8d03-80ec6c6773e5
Michele 	Vendruscolo	Vendruscolo M	Biology & Biochemistry	University of Cambridge, UK				a9c4514a-e1d3-4186-9cd8-c1518a20f692
Marc 	Vidal	Vidal M	Biology & Biochemistry	Dana Farber Canc Inst, USA	Harvard University, USA			dc194ceb-8eb8-4800-b9ee-e1477dd2a9d9
